t,alpha,v,r_cmd,i_cmd
4.280000000e+00,4.521167969e-04,-3.455715197e-01,4.988262053e-01,4.897763950e-07
4.300000000e+00,4.510156708e-04,-3.447298867e-01,4.988290641e-01,4.897655437e-07
4.320000000e+00,4.499172270e-04,-3.438903035e-01,4.988319159e-01,4.896059669e-07
4.340000000e+00,4.488214590e-04,-3.430527651e-01,4.988347607e-01,4.893167582e-07
4.360000000e+00,4.477283600e-04,-3.422172665e-01,4.988375986e-01,4.889145933e-07
4.380000000e+00,4.466379236e-04,-3.413838028e-01,4.988404296e-01,4.884140403e-07
4.400000000e+00,4.455501432e-04,-3.405523689e-01,4.988432537e-01,4.878278559e-07
4.420000000e+00,4.444650123e-04,-3.397229600e-01,4.988460710e-01,4.871671822e-07
4.440000000e+00,4.433825245e-04,-3.388955710e-01,4.988488813e-01,4.864417402e-07
4.460000000e+00,4.423026733e-04,-3.380701972e-01,4.988516849e-01,4.856600455e-07
4.480000000e+00,4.412254522e-04,-3.372468336e-01,4.988544816e-01,4.848295299e-07
4.500000000e+00,4.401508548e-04,-3.364254752e-01,4.988572715e-01,4.839567103e-07
4.520000000e+00,4.390788747e-04,-3.356061172e-01,4.988600545e-01,4.830472555e-07
4.540000000e+00,4.380095055e-04,-3.347887548e-01,4.988628309e-01,4.821061328e-07
4.560000000e+00,4.369427408e-04,-3.339733830e-01,4.988656004e-01,4.811376941e-07
4.580000000e+00,4.358785743e-04,-3.331599971e-01,4.988683632e-01,4.801457254e-07
4.600000000e+00,4.348169997e-04,-3.323485922e-01,4.988711193e-01,4.791335395e-07
4.620000000e+00,4.337580105e-04,-3.315391634e-01,4.988738687e-01,4.781040364e-07
4.640000000e+00,4.327016006e-04,-3.307317059e-01,4.988766113e-01,4.770597517e-07
4.660000000e+00,4.316477636e-04,-3.299262150e-01,4.988793473e-01,4.760028927e-07
4.680000000e+00,4.305964932e-04,-3.291226859e-01,4.988820767e-01,4.749353932e-07
4.700000000e+00,4.295477832e-04,-3.283211137e-01,4.988847993e-01,4.738589432e-07
4.720000000e+00,4.285016273e-04,-3.275214938e-01,4.988875154e-01,4.727750147e-07
4.740000000e+00,4.274580194e-04,-3.267238213e-01,4.988902248e-01,4.716848978e-07
4.760000000e+00,4.264169532e-04,-3.259280916e-01,4.988929277e-01,4.705897161e-07
4.780000000e+00,4.253784225e-04,-3.251342998e-01,4.988956239e-01,4.694904576e-07
4.800000000e+00,4.243424212e-04,-3.243424413e-01,4.988983136e-01,4.683879795e-07
4.820000000e+00,4.233089430e-04,-3.235525113e-01,4.989009967e-01,4.672830323e-07
4.840000000e+00,4.222779819e-04,-3.227645052e-01,4.989036733e-01,4.661762754e-07
4.860000000e+00,4.212495317e-04,-3.219784183e-01,4.989063434e-01,4.650682728e-07
4.880000000e+00,4.202235862e-04,-3.211942459e-01,4.989090070e-01,4.639595219e-07
4.900000000e+00,4.192001395e-04,-3.204119833e-01,4.989116641e-01,4.628504668e-07
4.920000000e+00,4.181791853e-04,-3.196316259e-01,4.989143147e-01,4.617414806e-07
4.940000000e+00,4.171607176e-04,-3.188531690e-01,4.989169589e-01,4.606328941e-07
4.960000000e+00,4.161447305e-04,-3.180766081e-01,4.989195966e-01,4.595250025e-07
4.980000000e+00,4.151312177e-04,-3.173019385e-01,4.989222279e-01,4.584180524e-07
