w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.168608855e+01,4.433293020e-01,2.688384295e-01,1.090812236e+00,9.627064770e-01
1.202819614e+01,4.598010239e-01,2.759975728e-01,1.096216363e+00,9.604560534e-01
1.238031884e+01,4.770527883e-01,2.833213071e-01,1.101949096e+00,9.580695653e-01
1.274274986e+01,4.951321878e-01,2.908119620e-01,1.108029562e+00,9.555386161e-01
1.311579096e+01,5.140900493e-01,2.984718051e-01,1.114477683e+00,9.528542683e-01
1.349975275e+01,5.339805903e-01,3.063030313e-01,1.121314108e+00,9.500070055e-01
1.389495494e+01,5.548615546e-01,3.143077503e-01,1.128560120e+00,9.469866924e-01
1.430172659e+01,5.767943158e-01,3.224879734e-01,1.136237498e+00,9.437825307e-01
1.472040638e+01,5.998439347e-01,3.308455989e-01,1.144368319e+00,9.403830132e-01
1.515134292e+01,6.240791483e-01,3.393823956e-01,1.152974703e+00,9.367758730e-01
1.559489504e+01,6.495722679e-01,3.480999850e-01,1.162078466e+00,9.329480304e-01
1.605143204e+01,6.763989502e-01,3.569998221e-01,1.171700665e+00,9.288855356e-01
1.652133406e+01,7.046378024e-01,3.660831735e-01,1.181861020e+00,9.245735079e-01
1.700499236e+01,7.343697667e-01,3.753510945e-01,1.192577163e+00,9.199960714e-01
1.750280964e+01,7.656772178e-01,3.848044042e-01,1.203863695e+00,9.151362875e-01
1.801520041e+01,7.986426942e-01,3.944436584e-01,1.215731007e+00,9.099760849e-01
1.854259130e+01,8.333471622e-01,4.042691200e-01,1.228183811e+00,9.044961872e-01
1.908542144e+01,8.698676962e-01,4.142807285e-01,1.241219333e+00,8.986760408e-01
1.964414281e+01,9.082744371e-01,4.244780665e-01,1.254825129e+00,8.924937432e-01
2.021922062e+01,9.486266770e-01,4.348603243e-01,1.268976453e+00,8.859259763e-01
2.081113370e+01,9.909679033e-01,4.454262627e-01,1.283633164e+00,8.789479472e-01
2.142037490e+01,1.035319642e+00,4.561741739e-01,1.298736139e+00,8.715333425e-01
2.204745150e+01,1.081673962e+00,4.671018402e-01,1.314203229e+00,8.636543024e-01
2.269288563e+01,1.129984557e+00,4.782064915e-01,1.329924847e+00,8.552814249e-01
2.335721469e+01,1.180156441e+00,4.894847610e-01,1.345759371e+00,8.463838122e-01
2.404099184e+01,1.232034461e+00,5.009326394e-01,1.361528674e+00,8.369291740e-01
2.474478640e+01,1.285391099e+00,5.125454290e-01,1.377014276e+00,8.268840094e-01
2.546918439e+01,1.339914403e+00,5.243176959e-01,1.391954772e+00,8.162138901e-01
2.621478897e+01,1.395197324e+00,5.362432233e-01,1.406045432e+00,8.048838753e-01
2.698222095e+01,1.450730225e+00,5.483149636e-01,1.418940997e+00,7.928590915e-01
2.777211932e+01,1.505898787e+00,5.605249924e-01,1.430262747e+00,7.801055144e-01
2.858514180e+01,1.559989743e+00,5.728644634e-01,1.439610771e+00,7.665909895e-01
2.942196532e+01,1.612206752e+00,5.853235646e-01,1.446581888e+00,7.522865254e-01
3.028328666e+01,1.661697942e+00,5.978914782e-01,1.450792903e+00,7.371678796e-01
3.116982298e+01,1.707595194e+00,6.105563433e-01,1.451907719e+00,7.212174385e-01
3.208231245e+01,1.749063155e+00,6.233052227e-01,1.449665636e+00,7.044263534e-01
3.302151485e+01,1.785353564e+00,6.361240756e-01,1.443907076e+00,6.867968535e-01
3.398821218e+01,1.815858481e+00,6.489977361e-01,1.434592573e+00,6.683445919e-01
3.498320936e+01,1.840155021e+00,6.619098985e-01,1.421811335e+00,6.491008204e-01
3.600733485e+01,1.858034881e+00,6.748431121e-01,1.405777198e+00,6.291141354e-01
3.706144138e+01,1.869514203e+00,6.877787848e-01,1.386812020e+00,6.084515050e-01
3.814640664e+01,1.874822804e+00,7.006971978e-01,1.365318899e+00,5.871983072e-01
3.926313402e+01,1.874375351e+00,7.135775326e-01,1.341749395e+00,5.654571775e-01
4.041255333e+01,1.868729845e+00,7.263979119e-01,1.316569673e+00,5.433455967e-01
4.159562163e+01,1.858540072e+00,7.391354553e-01,1.290230049e+00,5.209923169e-01
4.281332399e+01,1.844508408e+00,7.517663523e-01,1.263141153e+00,4.985328934e-01
4.406667430e+01,1.827343959e+00,7.642659530e-01,1.235658191e+00,4.761047318e-01
4.535671616e+01,1.807729066e+00,7.766088789e-01,1.208073257e+00,4.538421205e-01
4.668452371e+01,1.786295255e+00,7.887691558e-01,1.180614470e+00,4.318717017e-01
4.805120251e+01,1.763608263e+00,8.007203687e-01,1.153450153e+00,4.103087422e-01
4.945789053e+01,1.740160786e+00,8.124358424e-01,1.126696147e+00,3.892544229e-01
5.090575902e+01,1.716371222e+00,8.238888460e-01,1.100424615e+00,3.687942153e-01
5.239601353e+01,1.692586630e+00,8.350528255e-01,1.074673071e+00,3.489972833e-01
5.392989490e+01,1.669088341e+00,8.459016612e-01,1.049452805e+00,3.299167569e-01
5.550868030e+01,1.646098967e+00,8.564099519e-01,1.024756239e+00,3.115906731e-01
5.713368428e+01,1.623789909e+00,8.665533226e-01,1.000563033e+00,2.940433739e-01
5.880625989e+01,1.602288719e+00,8.763087529e-01,9.768449573e-01,2.772871663e-01
6.052779976e+01,1.581685959e+00,8.856549222e-01,9.535696216e-01,2.613240843e-01
6.229973732e+01,1.562041331e+00,8.945725629e-01,9.307032524e-01,2.461476309e-01
6.412354796e+01,1.543389024e+00,9.030448152e-01,9.082126715e-01,2.317444174e-01
6.600075023e+01,1.525742274e+00,9.110575699e-01,8.860666536e-01,2.180956498e-01
6.793290717e+01,1.509097192e+00,9.185997885e-01,8.642368017e-01,2.051784359e-01
6.992162757e+01,1.493435964e+00,9.256637828e-01,8.426980636e-01,1.929669067e-01
7.196856730e+01,1.478729493e+00,9.322454423e-01,8.214289822e-01,1.814331597e-01
7.407543073e+01,1.464939606e+00,9.383443905e-01,8.004117573e-01,1.705480352e-01
7.624397210e+01,1.452020897e+00,9.439640597e-01,7.796321737e-01,1.602817455e-01
7.847599704e+01,1.439922303e+00,9.491116717e-01,7.590794396e-01,1.506043745e-01
