w_rad_s,ratio12_nominal,cond_nominal,sigmax_nominal,sigmin_nominal,ratio12_light_load_0p5A,cond_light_load_0p5A,sigmax_light_load_0p5A,sigmin_light_load_0p5A,ratio12_fc_cruise_r0p85,cond_fc_cruise_r0p85,sigmax_fc_cruise_r0p85,sigmin_fc_cruise_r0p85
1.85150562e+03,2.79525329e-01,8.94491752e+02,3.99898800e+00,4.47068181e-03,4.47240526e+00,1.74249896e+04,1.76501416e+01,1.01292122e-03,1.85945110e-01,6.58070210e+02,3.00331813e+00,4.56382629e-03
1.89469514e+03,2.74769046e-01,9.14223578e+02,3.92781234e+00,4.29633673e-03,4.39630473e+00,1.72793204e+04,1.70760670e+01,9.88237189e-04,1.82781148e-01,6.73475173e+02,2.95181141e+00,4.38295505e-03
1.93889213e+03,2.70054363e-01,9.34370163e+02,3.85700968e+00,4.12792470e-03,4.32086981e+00,1.71297225e+04,1.65145373e+01,9.64086684e-04,1.79644859e-01,6.89205398e+02,2.90047331e+00,4.20843093e-03
1.98412009e+03,2.65383593e-01,9.54938165e+02,3.78661648e+00,3.96530018e-03,4.24613749e+00,1.69765395e+04,1.59657116e+01,9.40457363e-04,1.76537782e-01,7.05265424e+02,2.84933349e+00,4.04008674e-03
2.03040307e+03,2.60758920e-01,9.75934166e+02,3.71666758e+00,3.80831793e-03,4.17214272e+00,1.68201131e+04,1.54297153e+01,9.17337193e-04,1.73461368e-01,7.21659737e+02,2.79842058e+00,3.87775629e-03
2.07776567e+03,2.56182396e-01,9.97364666e+02,3.64719621e+00,3.65683319e-03,4.09891833e+00,1.66607820e+04,1.49066423e+01,8.94714443e-04,1.70416985e-01,7.38392762e+02,2.74776220e+00,3.72127456e-03
2.12623309e+03,2.51655944e-01,1.01923606e+03,3.57823393e+00,3.51070185e-03,4.02649510e+00,1.64988807e+04,1.43965550e+01,8.72577675e-04,1.67405910e-01,7.55468855e+02,2.69738484e+00,3.57047788e-03
2.17583109e+03,2.47181358e-01,1.04155464e+03,3.50981061e+00,3.36978060e-03,3.95490173e+00,1.63347387e+04,1.38994863e+01,8.50915743e-04,1.64429338e-01,7.72892290e+02,2.64731385e+00,3.42520412e-03
2.22658606e+03,2.42760305e-01,1.06432654e+03,3.44195446e+00,3.23392711e-03,3.88416489e+00,1.61686793e+04,1.34154408e+01,8.29717786e-04,1.61488377e-01,7.90667249e+02,2.59757346e+00,3.28529285e-03
2.27852496e+03,2.38394325e-01,1.08755777e+03,3.37469196e+00,3.10300018e-03,3.81430921e+00,1.60010191e+04,1.29443960e+01,8.08973224e-04,1.58584051e-01,8.08797813e+02,2.54818669e+00,3.15058554e-03
2.33167543e+03,2.34084835e-01,1.11125416e+03,3.30804793e+00,2.97685989e-03,3.74535735e+00,1.58320669e+04,1.24863039e+01,7.88671753e-04,1.55717303e-01,8.27287943e+02,2.49917537e+00,3.02092566e-03
2.38606573e+03,2.29833128e-01,1.13542135e+03,3.24204552e+00,2.85536777e-03,3.67733004e+00,1.56621232e+04,1.20410927e+01,7.68803343e-04,1.52888994e-01,8.46141472e+02,2.45056013e+00,2.89615886e-03
2.44172477e+03,2.25640380e-01,1.16006478e+03,3.17670621e+00,2.73838692e-03,3.61024608e+00,1.54914796e+04,1.16086678e+01,7.49358231e-04,1.50099905e-01,8.65362088e+02,2.40236037e+00,2.77613314e-03
2.49868216e+03,2.21507652e-01,1.18518965e+03,3.11204986e+00,2.62578218e-03,3.54412243e+00,1.53204184e+04,1.11889140e+01,7.30326919e-04,1.47350742e-01,8.84953316e+02,2.35459432e+00,2.66069891e-03
2.55696817e+03,2.17435891e-01,1.21080091e+03,3.04809470e+00,2.51742022e-03,3.47897425e+00,1.51492118e+04,1.07816965e+01,7.11700167e-04,1.44642136e-01,9.04918508e+02,2.30727899e+00,2.54970914e-03
