w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
6.951927962e+00,4.493094348e-01,1.239281947e-01,9.968845537e-01,9.750042777e-01
7.155444071e+00,4.620949421e-01,1.275358995e-01,9.966999589e-01,9.734005383e-01
7.364918067e+00,4.752133033e-01,1.312473929e-01,9.965044570e-01,9.716885783e-01
7.580524368e+00,4.886693817e-01,1.350655492e-01,9.962974073e-01,9.698606833e-01
7.802442493e+00,5.024675963e-01,1.389933121e-01,9.960781317e-01,9.679085791e-01
8.030857221e+00,5.166118392e-01,1.430336953e-01,9.958459132e-01,9.658233956e-01
8.265958739e+00,5.311053846e-01,1.471897837e-01,9.955999928e-01,9.635956307e-01
8.507942800e+00,5.459507865e-01,1.514647332e-01,9.953395681e-01,9.612151141e-01
8.757010889e+00,5.611497655e-01,1.558617715e-01,9.950637902e-01,9.586709707e-01
9.013370390e+00,5.767030839e-01,1.603841986e-01,9.947717614e-01,9.559515856e-01
9.277234756e+00,5.926104084e-01,1.650353863e-01,9.944625323e-01,9.530445703e-01
9.548823692e+00,6.088701588e-01,1.698187787e-01,9.941350992e-01,9.499367328e-01
9.828363333e+00,6.254793444e-01,1.747378918e-01,9.937884009e-01,9.466140503e-01
1.011608643e+01,6.424333864e-01,1.797963128e-01,9.934213155e-01,9.430616487e-01
1.041223256e+01,6.597259265e-01,1.849977000e-01,9.930326575e-01,9.392637880e-01
1.071704830e+01,6.773486234e-01,1.903457813e-01,9.926211737e-01,9.352038584e-01
1.103078745e+01,6.952909369e-01,1.958443534e-01,9.921855403e-01,9.308643858e-01
1.135371124e+01,7.135399023e-01,2.014972798e-01,9.917243584e-01,9.262270531e-01
1.168608855e+01,7.320798968e-01,2.073084895e-01,9.912361505e-01,9.212727368e-01
1.202819614e+01,7.508924018e-01,2.132819745e-01,9.907193563e-01,9.159815638e-01
1.238031884e+01,7.699557642e-01,2.194217870e-01,9.901723279e-01,9.103329914e-01
1.274274986e+01,7.892449634e-01,2.257320364e-01,9.895933261e-01,9.043059131e-01
1.311579096e+01,8.087313893e-01,2.322168857e-01,9.889805149e-01,8.978787942e-01
1.349975275e+01,8.283826400e-01,2.388805473e-01,9.883319571e-01,8.910298414e-01
1.389495494e+01,8.481623473e-01,2.457272785e-01,9.876456087e-01,8.837372067e-01
1.430172659e+01,8.680300410e-01,2.527613756e-01,9.869193144e-01,8.759792318e-01
1.472040638e+01,8.879410633e-01,2.599871682e-01,9.861508011e-01,8.677347316e-01
1.515134292e+01,9.078465456e-01,2.674090122e-01,9.853376731e-01,8.589833190e-01
1.559489504e+01,9.276934599e-01,2.750312822e-01,9.844774058e-01,8.497057704e-01
1.605143204e+01,9.474247592e-01,2.828583626e-01,9.835673397e-01,8.398844291e-01
1.652133406e+01,9.669796171e-01,2.908946386e-01,9.826046742e-01,8.295036418e-01
1.700499236e+01,9.862937789e-01,2.991444851e-01,9.815864612e-01,8.185502220e-01
1.750280964e+01,1.005300032e+00,3.076122552e-01,9.805095988e-01,8.070139315e-01
1.801520041e+01,1.023928802e+00,3.163022672e-01,9.793708243e-01,7.948879665e-01
1.854259130e+01,1.042108872e+00,3.252187902e-01,9.781667077e-01,7.821694352e-01
1.908542144e+01,1.059768224e+00,3.343660290e-01,9.768936448e-01,7.688598106e-01
1.964414281e+01,1.076834990e+00,3.437481062e-01,9.755478504e-01,7.549653387e-01
2.021922062e+01,1.093238500e+00,3.533690440e-01,9.741253512e-01,7.404973842e-01
2.081113370e+01,1.108910394e+00,3.632327439e-01,9.726219791e-01,7.254726939e-01
2.142037490e+01,1.123785774e+00,3.733429636e-01,9.710333644e-01,7.099135597e-01
2.204745150e+01,1.137804370e+00,3.837032941e-01,9.693549292e-01,6.938478657e-01
