# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
8.66713880e+02,1.00886778e+00,1.01104538e+00
8.95166472e+02,1.00377974e+00,1.01031856e+00
9.24553110e+02,1.00108601e+00,1.00965718e+00
9.54904456e+02,1.00051869e+00,1.00905533e+00
9.86252179e+02,1.00034978e+00,1.00850742e+00
1.01862899e+03,1.00026903e+00,1.00800818e+00
1.05206867e+03,1.00021965e+00,1.00755267e+00
1.08660611e+03,1.00018484e+00,1.00713634e+00
1.12227736e+03,1.00015809e+00,1.00675499e+00
1.15911962e+03,1.00013640e+00,1.00640479e+00
1.19717134e+03,1.00011821e+00,1.00608226e+00
1.23647224e+03,1.00010267e+00,1.00578425e+00
1.27706330e+03,1.00008923e+00,1.00550794e+00
1.31898690e+03,1.00007753e+00,1.00525082e+00
1.36228676e+03,1.00006732e+00,1.00501063e+00
1.40700809e+03,1.00005839e+00,1.00478538e+00
1.45319752e+03,1.00005059e+00,1.00457334e+00
1.50090328e+03,1.00004380e+00,1.00437294e+00
1.55017512e+03,1.00003788e+00,1.00418285e+00
1.60106446e+03,1.00003274e+00,1.00400188e+00
1.65362441e+03,1.00002830e+00,1.00382903e+00
1.70790980e+03,1.00002446e+00,1.00366342e+00
1.76397728e+03,1.00002116e+00,1.00350428e+00
1.82188534e+03,1.00001834e+00,1.00335100e+00
1.88169442e+03,1.00001594e+00,1.00320302e+00
1.94346693e+03,1.00001392e+00,1.00305991e+00
2.00726730e+03,1.00001226e+00,1.00292131e+00
2.07316213e+03,1.00001092e+00,1.00278692e+00
2.14122015e+03,1.00000995e+00,1.00265652e+00
2.21151240e+03,1.00000944e+00,1.00252994e+00
2.28411221e+03,1.00000981e+00,1.00240706e+00
2.35909533e+03,1.00001368e+00,1.00228780e+00
2.43654001e+03,1.00018596e+00,1.00217211e+00
2.51652705e+03,1.00082930e+00,1.00205998e+00
2.59913992e+03,1.00136355e+00,1.00195142e+00
2.68446481e+03,1.00178065e+00,1.00184643e+00
2.77259076e+03,1.00209118e+00,1.00174505e+00
2.86360972e+03,1.00230724e+00,1.00164732e+00
2.95761666e+03,1.00244129e+00,1.00155326e+00
3.05470967e+03,1.00250562e+00,1.00146290e+00
3.15499006e+03,1.00251198e+00,1.00137626e+00
3.25856248e+03,1.00247135e+00,1.00129336e+00
3.36553498e+03,1.00239373e+00,1.00121417e+00
3.47601918e+03,1.00228807e+00,1.00113869e+00
3.59013038e+03,1.00216222e+00,1.00106689e+00
3.70798763e+03,1.00202290e+00,1.00099870e+00
3.82971391e+03,1.00187578e+00,1.00093406e+00
3.95543624e+03,1.00172553e+00,1.00087291e+00
4.08528580e+03,1.00157591e+00,1.00081513e+00
4.21939808e+03,1.00142984e+00,1.00076064e+00
4.35791301e+03,1.00128954e+00,1.00070932e+00
4.50097513e+03,1.00115661e+00,1.00066105e+00
4.64873371e+03,1.00103210e+00,1.00061571e+00
4.80134292e+03,1.00091667e+00,1.00057316e+00
4.95896201e+03,1.00081060e+00,1.00053326e+00
5.12175544e+03,1.00071389e+00,1.00049590e+00
5.28989308e+03,1.00062635e+00,1.00046093e+00
5.46355035e+03,1.00054761e+00,1.00042823e+00
