w,K11_mag,K12_mag,K21_mag,K22_mag,K11_ph,K22_ph
6.562096407e+00,1.217548798e+00,4.836567092e-01,6.090405853e-04,8.355784863e-01,-9.126966406e+01,-9.408631303e+00
6.754200286e+00,1.182894488e+00,4.832540273e-01,6.086183695e-04,8.349365872e-01,-9.130682444e+01,-9.617765705e+00
6.951927962e+00,1.149225094e+00,4.828324967e-01,6.081728850e-04,8.342590917e-01,-9.134507183e+01,-9.834338367e+00
7.155444071e+00,1.116512582e+00,4.823908737e-01,6.077028345e-04,8.335440195e-01,-9.138443797e+01,-1.005848003e+01
7.364918067e+00,1.084729715e+00,4.819278661e-01,6.072068605e-04,8.327892975e-01,-9.142495552e+01,-1.029032350e+01
7.580524368e+00,1.053850027e+00,4.814421309e-01,6.066835434e-04,8.319927557e-01,-9.146665808e+01,-1.053000346e+01
7.802442493e+00,1.023847807e+00,4.809322728e-01,6.061313992e-04,8.311521251e-01,-9.150958023e+01,-1.077765615e+01
8.030857221e+00,9.946980740e-01,4.803968412e-01,6.055488776e-04,8.302650336e-01,-9.155375754e+01,-1.103341916e+01
8.265958739e+00,9.663765555e-01,4.798343290e-01,6.049343604e-04,8.293290037e-01,-9.159922663e+01,-1.129743106e+01
8.507942800e+00,9.388596696e-01,4.792431702e-01,6.042861595e-04,8.283414491e-01,-9.164602513e+01,-1.156983110e+01
8.757010889e+00,9.121245040e-01,4.786217383e-01,6.036025152e-04,8.272996726e-01,-9.169419182e+01,-1.185075885e+01
9.013370390e+00,8.861487972e-01,4.779683450e-01,6.028815951e-04,8.262008631e-01,-9.174376654e+01,-1.214035377e+01
9.277234756e+00,8.609109203e-01,4.772812381e-01,6.021214926e-04,8.250420941e-01,-9.179479030e+01,-1.243875479e+01
9.548823692e+00,8.363898585e-01,4.765586009e-01,6.013202262e-04,8.238203214e-01,-9.184730529e+01,-1.274609987e+01
9.828363333e+00,8.125651936e-01,4.757985509e-01,6.004757383e-04,8.225323820e-01,-9.190135490e+01,-1.306252544e+01
1.011608643e+01,7.894170875e-01,4.749991391e-01,5.995858954e-04,8.211749932e-01,-9.195698377e+01,-1.338816589e+01
1.041223256e+01,7.669262653e-01,4.741583499e-01,5.986484875e-04,8.197447519e-01,-9.201423781e+01,-1.372315299e+01
1.071704830e+01,7.450739992e-01,4.732741004e-01,5.976612291e-04,8.182381350e-01,-9.207316424e+01,-1.406761522e+01
1.103078745e+01,7.238420932e-01,4.723442415e-01,5.966217593e-04,8.166515005e-01,-9.213381161e+01,-1.442167711e+01
1.135371124e+01,7.032128675e-01,4.713665580e-01,5.955276439e-04,8.149810882e-01,-9.219622987e+01,-1.478545854e+01
1.168608855e+01,6.831691444e-01,4.703387704e-01,5.943763767e-04,8.132230231e-01,-9.226047036e+01,-1.515907395e+01
1.202819614e+01,6.636942333e-01,4.692585365e-01,5.931653824e-04,8.113733183e-01,-9.232658589e+01,-1.554263152e+01
1.238031884e+01,6.447719174e-01,4.681234534e-01,5.918920198e-04,8.094278791e-01,-9.239463074e+01,-1.593623234e+01
1.274274986e+01,6.263864399e-01,4.669310612e-01,5.905535856e-04,8.073825088e-01,-9.246466071e+01,-1.633996946e+01
1.311579096e+01,6.085224909e-01,4.656788462e-01,5.891473194e-04,8.052329151e-01,-9.253673316e+01,-1.675392695e+01
1.349975275e+01,5.911651947e-01,4.643642456e-01,5.876704092e-04,8.029747179e-01,-9.261090705e+01,-1.717817888e+01
1.389495494e+01,5.743000972e-01,4.629846527e-01,5.861199982e-04,8.006034590e-01,-9.268724296e+01,-1.761278832e+01
1.430172659e+01,5.579131545e-01,4.615374230e-01,5.844931920e-04,7.981146122e-01,-9.276580314e+01,-1.805780618e+01
1.472040638e+01,5.419907205e-01,4.600198812e-01,5.827870679e-04,7.955035961e-01,-9.284665156e+01,-1.851327013e+01
1.515134292e+01,5.265195358e-01,4.584293293e-01,5.809986840e-04,7.927657877e-01,-9.292985392e+01,-1.897920341e+01
1.559489504e+01,5.114867169e-01,4.567630553e-01,5.791250905e-04,7.898965383e-01,-9.301547769e+01,-1.945561362e+01
1.605143204e+01,4.968797450e-01,4.550183434e-01,5.771633415e-04,7.868911906e-01,-9.310359217e+01,-1.994249152e+01
1.652133406e+01,4.826864562e-01,4.531924849e-01,5.751105087e-04,7.837450979e-01,-9.319426850e+01,-2.043980977e+01
1.700499236e+01,4.688950309e-01,4.512827905e-01,5.729636955e-04,7.804536455e-01,-9.328757971e+01,-2.094752167e+01
1.750280964e+01,4.554939841e-01,4.492866031e-01,5.707200527e-04,7.770122729e-01,-9.338360075e+01,-2.146555989e+01
1.801520041e+01,4.424721559e-01,4.472013124e-01,5.683767961e-04,7.734164991e-01,-9.348240850e+01,-2.199383521e+01
1.854259130e+01,4.298187025e-01,4.450243697e-01,5.659312238e-04,7.696619488e-01,-9.358408184e+01,-2.253223529e+01
1.908542144e+01,4.175230867e-01,4.427533047e-01,5.633807359e-04,7.657443805e-01,-9.368870166e+01,-2.308062342e+01
1.964414281e+01,4.055750693e-01,4.403857422e-01,5.607228548e-04,7.616597165e-01,-9.379635088e+01,-2.363883739e+01
2.021922062e+01,3.939647009e-01,4.379194203e-01,5.579552461e-04,7.574040738e-01,-9.390711448e+01,-2.420668829e+01
2.081113370e+01,3.826823135e-01,4.353522093e-01,5.550757412e-04,7.529737972e-01,-9.402107955e+01,-2.478395948e+01
2.142037490e+01,3.717185123e-01,4.326821308e-01,5.520823594e-04,7.483654923e-01,-9.413833524e+01,-2.537040563e+01
2.204745150e+01,3.610641682e-01,4.299073780e-01,5.489733314e-04,7.435760606e-01,-9.425897288e+01,-2.596575177e+01
2.269288563e+01,3.507104101e-01,4.270263355e-01,5.457471228e-04,7.386027338e-01,-9.438308588e+01,-2.656969254e+01
2.335721469e+01,3.406486176e-01,4.240375998e-01,5.424024573e-04,7.334431095e-01,-9.451076985e+01,-2.718189155e+01
2.404099184e+01,3.308704141e-01,4.209399994e-01,5.389383402e-04,7.280951860e-01,-9.464212250e+01,-2.780198081e+01
2.474478640e+01,3.213676595e-01,4.177326148e-01,5.353540810e-04,7.225573967e-01,-9.477724375e+01,-2.842956042e+01
2.546918439e+01,3.121324438e-01,4.144147977e-01,5.316493156e-04,7.168286435e-01,-9.491623563e+01,-2.906419835e+01
2.621478897e+01,3.031570804e-01,4.109861895e-01,5.278240263e-04,7.109083287e-01,-9.505920232e+01,-2.970543046e+01
2.698222095e+01,2.944341001e-01,4.074467384e-01,5.238785623e-04,7.047963852e-01,-9.520625015e+01,-3.035276062e+01
2.777211932e+01,2.859562447e-01,4.037967155e-01,5.198136559e-04,6.984933037e-01,-9.535748752e+01,-3.100566118e+01
2.858514180e+01,2.777164610e-01,4.000367289e-01,5.156304387e-04,6.920001574e-01,-9.551302495e+01,-3.166357350e+01
2.942196532e+01,2.697078953e-01,3.961677359e-01,5.113304543e-04,6.853186234e-01,-9.567297496e+01,-3.232590881e+01
3.028328666e+01,2.619238878e-01,3.921910532e-01,5.069156681e-04,6.784509999e-01,-9.583745210e+01,-3.299204924e+01
3.116982298e+01,2.543579668e-01,3.881083641e-01,5.023884743e-04,6.714002192e-01,-9.600657287e+01,-3.366134905e+01
3.208231245e+01,2.470038439e-01,3.839217237e-01,4.977516998e-04,6.641698563e-01,-9.618045563e+01,-3.433313614e+01
3.302151485e+01,2.398554086e-01,3.796335604e-01,4.930086038e-04,6.567641319e-01,-9.635922059e+01,-3.500671371e+01
3.398821218e+01,2.329067234e-01,3.752466752e-01,4.881628743e-04,6.491879112e-01,-9.654298966e+01,-3.568136215e+01
3.498320936e+01,2.261520192e-01,3.707642373e-01,4.832186207e-04,6.414466962e-01,-9.673188640e+01,-3.635634115e+01
3.600733485e+01,2.195856903e-01,3.661897766e-01,4.781803617e-04,6.335466127e-01,-9.692603591e+01,-3.703089189e+01
3.706144138e+01,2.132022902e-01,3.615271730e-01,4.730530102e-04,6.254943924e-01,-9.712556468e+01,-3.770423948e+01
3.814640664e+01,2.069965271e-01,3.567806427e-01,4.678418535e-04,6.172973488e-01,-9.733060050e+01,-3.837559550e+01
3.926313402e+01,2.009632596e-01,3.519547211e-01,4.625525304e-04,6.089633478e-01,-9.754127224e+01,-3.904416064e+01
4.041255333e+01,1.950974928e-01,3.470542431e-01,4.571910042e-04,6.005007735e-01,-9.775770975e+01,-3.970912743e+01
4.159562163e+01,1.893943740e-01,3.420843204e-01,4.517635326e-04,5.919184895e-01,-9.798004363e+01,-4.036968304e+01
4.281332399e+01,1.838491891e-01,3.370503160e-01,4.462766342e-04,5.832257950e-01,-9.820840502e+01,-4.102501206e+01
4.406667430e+01,1.784573590e-01,3.319578177e-01,4.407370530e-04,5.744323780e-01,-9.844292541e+01,-4.167429938e+01
