w,rga11_re,rga11_im,rga11_mag
3.438276921e+03,1.000000000e+00,-6.253948301e-18,1.000000000e+00
3.538931695e+03,1.000000000e+00,2.796128313e-19,1.000000000e+00
3.642533115e+03,1.000000000e+00,-5.209778166e-18,1.000000000e+00
3.749167443e+03,1.000000000e+00,-2.744161640e-18,1.000000000e+00
3.858923467e+03,1.000000000e+00,7.305313669e-17,1.000000000e+00
3.971892573e+03,1.000000000e+00,8.224499067e-18,1.000000000e+00
4.088168824e+03,1.000000000e+00,-2.714905062e-17,1.000000000e+00
4.207849036e+03,1.000000000e+00,1.792653477e-17,1.000000000e+00
4.331032859e+03,1.000000000e+00,2.866870623e-17,1.000000000e+00
4.457822860e+03,1.000000000e+00,1.850569815e-17,1.000000000e+00
4.588324610e+03,1.000000000e+00,-8.742233997e-18,1.000000000e+00
4.722646769e+03,1.000000000e+00,-1.048160114e-17,1.000000000e+00
4.860901178e+03,1.000000000e+00,8.835358782e-18,1.000000000e+00
5.003202954e+03,1.000000000e+00,3.139886013e-17,1.000000000e+00
5.149670582e+03,1.000000000e+00,-8.290130232e-18,1.000000000e+00
5.300426016e+03,1.000000000e+00,4.548830537e-17,1.000000000e+00
5.455594781e+03,1.000000000e+00,-1.525808047e-17,1.000000000e+00
5.615306077e+03,1.000000000e+00,-6.662657184e-20,1.000000000e+00
5.779692884e+03,1.000000000e+00,1.665838672e-17,1.000000000e+00
