Internal SKU,Part,PCB Names,Specification,Category,Manufacturer,Mft. SKU,Vendor,Vendor SKU,Link,Datasheet,BOM Qty,BOM Units,Cost / BOM Unit,Assembly Cost,Pricing Status,MOQ (for price),Ready to Order,Ordered,Received,Board Operating Current [mA],Voltage Min [V],Voltage Max [V],Series Min Voltage [V],Series Max Voltage [V],Max Current [mA],Max Power [W],Board Power [W],Max Pulse Current [mA],Max Operating Temp [C],Max Junction Temp [C],Junction - SP Resistance [C/W],Naive Junction Temp Rise [C],Max Other Resistance [C/W],Notes,Total Assembly Cost:,$149.66,,PCB components:,111,PCB unique parts:,57
,NTC thermistor (on batteries),,NTC Thermistor 10k Bead,Battery Charger,Vishay Beyschlag/Draloric/BC Components,NTCLE413E2103F102L,Digikey,BC2647-ND,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/NTCLE413E2103F102L/2348991,https://www.vishay.com/docs/29078/ntcle413.pdf,1.00,ea,$1.62,$1.62,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,NTC terminal,J-NTC,"2 Position Wire to Board Terminal Block Horizontal with Board 0.300"" (7.62mm) Through Hole",Battery Charger,Würth Elektronik,691411410002,Digikey,732-11084-ND,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/691411410002/6644180,https://www.we-online.com/catalog/datasheet/691411410002.pdf,1.00,ea,$0.64,$0.64,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Power input terminals,"J-FC,J-BT,J-M","2 Position Wire to Board Terminal Block Horizontal with Board 0.300"" (7.62mm) Through Hole",Connection,Same Sky (Formerly CUI Devices),TB005-762-02BE,Digikey,102-6189-ND,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/TB005-762-02BE/10064113,https://www.cuidevices.com/product/resource/tb005-762.pdf,3.00,ea,$0.78,$2.34,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Inline fuse,,Fuse Holder 25 A 600V 1 Circuit Cartridge Free Hanging (In-Line),Other,MPD (Memory Protection Devices),BF302,Digikey,BF302-ND,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BF302/8119218,https://www.memoryprotectiondevices.com/datasheets/BF302/BF302-datasheet.pdf,1.00,ea,$3.97,$3.97,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Battery balance terminal,J-BL,"3 Position Wire to Board Terminal Block Horizontal with Board 0.300"" (7.62mm) Through Hole",Connection,Same Sky (Formerly CUI Devices),TB005-762-03BE,Digikey,102-6190-ND,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/TB005-762-03BE/10064114,https://www.cuidevices.com/product/resource/tb005-762.pdf,1.00,ea,$1.11,$1.11,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Teensy-side headers,,"Connector Header Through Hole 24 position 0.100"" (2.54mm)",Connection,Sullins Connector Solutions,PREC024SAAN-RC,Digikey,S1012EC-24-ND,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PREC024SAAN-RC/2774830,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2585/z%20RzCzzzSzzN-RC%2C%20ST%2C11635-B.pdf,2.00,ea,$0.57,$1.14,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Board headers,"J1,J2","48 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold",Connection,Amphenol ICC (FCI),87606-324LF,Digikey,609-6007-ND,https://www.digikey.com/en/products/detail/amphenol-cs-fci/87606-324LF/1524333,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_dubox_shunts.pdf,2.00,ea,$3.97,$7.94,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Logic power header,J3,"20 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold",Connection,Würth Elektronik,61302021821,Digikey,732-61302021821-ND,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61302021821/16608495,https://www.we-online.com/components/products/datasheet/61302021821.pdf,1.00,ea,$0.77,$0.77,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Estop,,"HB-K20 Waterproof IP65 22mm 20A Emergency Stop Mushroom Head Push Button Switch 2NO 2NC, Red",Other,GEEKAA,,Amazon,B0CQS3JNLZ,https://www.amazon.com/GEEKAA-HB-K20-Waterproof-Emergency-Mushroom/dp/B0CQS3JNLZ/ref=sr_1_4?crid=3LFJVGXUHDGGA&dib=eyJ2IjoiMSJ9.zieXajUXW5bwIIkhLYxdlquGWHI3jhyOokWIOCucyyjYdXhlbRdCr4p2tnIfReB82sbn9yZfUSTc8LKZLUbWFMWTY_Qhc3FR9fkBQqkDIPopNCSuuDZMx8st7FDZ-3FX02A4pUsxriGKKMvdJCWqTXXtfbL4qA4RAI96niQjyCIhEVqyIK6xkDG3fZdKI1whpMQDyNYsGjasrWIDUXGk1LaX0WrLA7kefIWvEt52uQA.Jct_Th_bxMd5E-aC3j_sMgVPweUBoP1qfuHBee3IeTg&dib_tag=se&keywords=E+Stop+20a&qid=1773179293&sprefix=e+stop+20a%2Caps%2C199&sr=8-4,,1.00,ea,$15.01,$15.01,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Fuel cell voltage measurement R1,R1-FC,"27.4 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Boost Regulator,Panasonic Electronic Components,ERA-3AEB2742V,Digikey,P27.4KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB2742V/2026876,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,1.00,ea,$0.10,$0.10,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
