log,fw,t0,t1,mode,share_sp,r_cmd,alpha,I_tot,I_fc,I_batt,V_bus,gFC,gBT,n_samples
TP0027,3,7.470453,7.975056,legacy,0.600000024,0.5752191312793875,0.5999491774978138,1.7765583665684452,1.0658864049907193,0.7106719615777262,15.801837652668212,0.25900785945939675,0.3507384296078887,431
TP0027,3,7.976219,8.480823,legacy,0.600000024,0.5762325507099608,0.5999779616197204,1.825265268777262,1.0951292457447797,0.7301360230324826,15.797883132714617,0.2585525758607889,0.3515778144408353,431
TP0027,3,8.481983,8.986593,legacy,0.600000024,0.5759496128917393,0.600013697319097,1.8702700651554522,1.122090988025522,0.7481790771299306,15.79529954013921,0.2586797037888631,0.3513434991136892,431
TP0027,3,8.987757,9.492641,legacy,0.600000024,0.5754964221209489,0.6000862224776461,1.8090171704106726,1.0855374450301625,0.7234797253805104,15.800076562412993,0.25888328112529,0.350968076900232,431
TP0028,3,6.46828,6.973102,legacy,0.649999976,0.6242530162730635,0.6500454103820656,1.66532714787471,1.082284084974478,0.583043062900232,15.810157930394432,0.23866349444779586,0.3965118037726218,431
TP0028,3,6.974265,7.478886,legacy,0.649999976,0.6238254544311447,0.650005112211267,1.760572037201856,1.1441913935034804,0.6163806436983759,15.803271800232018,0.23882704997911833,0.3960609787308585,431
TP0028,3,7.480046,7.984664,legacy,0.649999976,0.6233205995326808,0.6500325458364582,1.8289860616194893,1.1886539647795824,0.6403320968399072,15.798442060556845,0.23902058112064967,0.39553051253596294,431
TP0028,3,7.985827,8.490444,legacy,0.649999976,0.6235521596208211,0.6499892545983372,1.8768702699651971,1.2198413365429233,0.6570289334222738,15.795594800928075,0.2389312615359629,0.39577131619489564,431
TP0028,3,8.491604,8.996223,legacy,0.649999976,0.622870052071997,0.6500449017834781,1.913423817327146,1.2437553973085846,0.6696684200185615,15.792230847563804,0.23919283559164736,0.39505511474941996,431
TP0028,3,8.997387,9.502053,legacy,0.649999976,0.6227950233422276,0.6499566490544892,1.8417190352389792,1.1967873619303944,0.6449316733085846,15.798136238979117,0.23922197049187935,0.3949779845150812,431
TP0029,3,6.471243,6.975848,legacy,0.699999988,0.6720522517892704,0.6999251679948635,1.7172874052436198,1.2017047974245938,0.5155826078190257,15.807489961484919,0.2216883741183295,0.4543056407842227,431
TP0029,3,6.977011,7.481621,legacy,0.699999988,0.67259276768586,0.6999973043537304,1.8143459465127607,1.269800964849188,0.5445449816635731,15.800445679814384,0.22150995096519724,0.45505337192807427,431
TP0029,3,7.482781,7.987393,legacy,0.699999988,0.671855885038004,0.7000380738471422,1.8789456897470997,1.3150488314153133,0.5638968583317866,15.796364631786545,0.2217531433897912,0.4540335616171694,431
TP0029,3,7.988556,8.493172,legacy,0.699999988,0.6712009517125483,0.7000470655857054,1.9279143524593967,1.3493025888399073,0.5786117636194895,15.79347518886311,0.22196934896287704,0.45312761341299307,431
TP0029,3,8.494332,8.998951,legacy,0.699999988,0.6706738958370304,0.7000222987942429,1.9644678970440834,1.374768536473318,0.5896993605707658,15.788761421577727,0.2221461489883991,0.452422523863109,431
