w_rad_s,Gc_hinf_mag,Gc_youlah_mag,Gc_reduced_mag,Gc_discrete_mag
9.331826e-01,1.198131e+02,1.198173e+02,1.198173e+02,1.198172e+02
9.500644e-01,1.176842e+02,1.176882e+02,1.176882e+02,1.176882e+02
9.672517e-01,1.155930e+02,1.155970e+02,1.155970e+02,1.155970e+02
9.847498e-01,1.135391e+02,1.135429e+02,1.135429e+02,1.135429e+02
1.002565e+00,1.115216e+02,1.115254e+02,1.115254e+02,1.115253e+02
1.020702e+00,1.095400e+02,1.095436e+02,1.095436e+02,1.095436e+02
1.039167e+00,1.075936e+02,1.075971e+02,1.075971e+02,1.075971e+02
1.057966e+00,1.056818e+02,1.056852e+02,1.056852e+02,1.056852e+02
1.077105e+00,1.038039e+02,1.038073e+02,1.038073e+02,1.038073e+02
1.096591e+00,1.019594e+02,1.019627e+02,1.019627e+02,1.019627e+02
1.116429e+00,1.001477e+02,1.001509e+02,1.001509e+02,1.001509e+02
1.136625e+00,9.836821e+01,9.837133e+01,9.837133e+01,9.837132e+01
1.157188e+00,9.662031e+01,9.662336e+01,9.662335e+01,9.662334e+01
1.178122e+00,9.490347e+01,9.490644e+01,9.490644e+01,9.490643e+01
1.199435e+00,9.321713e+01,9.322003e+01,9.322003e+01,9.322002e+01
1.221133e+00,9.156076e+01,9.156359e+01,9.156359e+01,9.156357e+01
1.243224e+00,8.993382e+01,8.993658e+01,8.993658e+01,8.993656e+01
1.265715e+00,8.833578e+01,8.833848e+01,8.833848e+01,8.833847e+01
1.288613e+00,8.676614e+01,8.676878e+01,8.676878e+01,8.676876e+01
1.311924e+00,8.522440e+01,8.522697e+01,8.522697e+01,8.522695e+01
1.335658e+00,8.371004e+01,8.371256e+01,8.371255e+01,8.371254e+01
1.359821e+00,8.222260e+01,8.222505e+01,8.222505e+01,8.222504e+01
1.384421e+00,8.076158e+01,8.076398e+01,8.076398e+01,8.076397e+01
1.409466e+00,7.932653e+01,7.932887e+01,7.932887e+01,7.932886e+01
1.434964e+00,7.791697e+01,7.791926e+01,7.791926e+01,7.791925e+01
1.460923e+00,7.653246e+01,7.653470e+01,7.653470e+01,7.653469e+01
1.487352e+00,7.517255e+01,7.517474e+01,7.517474e+01,7.517473e+01
1.514259e+00,7.383680e+01,7.383895e+01,7.383895e+01,7.383893e+01
1.541653e+00,7.252479e+01,7.252689e+01,7.252689e+01,7.252687e+01
1.569543e+00,7.123610e+01,7.123815e+01,7.123814e+01,7.123813e+01
1.597936e+00,6.997030e+01,6.997230e+01,6.997230e+01,6.997229e+01
1.626844e+00,6.872699e+01,6.872895e+01,6.872895e+01,6.872893e+01
1.656275e+00,6.750577e+01,6.750769e+01,6.750769e+01,6.750768e+01
1.686238e+00,6.630626e+01,6.630814e+01,6.630813e+01,6.630812e+01
1.716743e+00,6.512805e+01,6.512989e+01,6.512989e+01,6.512988e+01
1.747800e+00,6.397079e+01,6.397259e+01,6.397259e+01,6.397257e+01
1.779418e+00,6.283408e+01,6.283585e+01,6.283585e+01,6.283583e+01
1.811609e+00,6.171758e+01,6.171930e+01,6.171930e+01,6.171929e+01
1.844382e+00,6.062091e+01,6.062260e+01,6.062260e+01,6.062258e+01
1.877748e+00,5.954373e+01,5.954539e+01,5.954538e+01,5.954537e+01
1.911718e+00,5.848569e+01,5.848731e+01,5.848731e+01,5.848729e+01
1.946302e+00,5.744645e+01,5.744804e+01,5.744804e+01,5.744802e+01
1.981512e+00,5.642568e+01,5.642723e+01,5.642723e+01,5.642721e+01
2.017359e+00,5.542304e+01,5.542457e+01,5.542456e+01,5.542455e+01
2.053854e+00,5.443822e+01,5.443972e+01,5.443971e+01,5.443969e+01
2.091009e+00,5.347090e+01,5.347236e+01,5.347236e+01,5.347234e+01
2.128837e+00,5.252077e+01,5.252220e+01,5.252220e+01,5.252218e+01
2.167349e+00,5.158752e+01,5.158892e+01,5.158892e+01,5.158890e+01
2.206557e+00,5.067085e+01,5.067223e+01,5.067223e+01,5.067221e+01
2.246475e+00,4.977047e+01,4.977182e+01,4.977182e+01,4.977180e+01
2.287116e+00,4.888609e+01,4.888742e+01,4.888741e+01,4.888739e+01
2.328491e+00,4.801743e+01,4.801872e+01,4.801872e+01,4.801870e+01
2.370615e+00,4.716420e+01,4.716547e+01,4.716547e+01,4.716544e+01
2.413500e+00,4.632613e+01,4.632737e+01,4.632737e+01,4.632735e+01
2.457162e+00,4.550295e+01,4.550417e+01,4.550417e+01,4.550415e+01
2.501614e+00,4.469440e+01,4.469560e+01,4.469560e+01,4.469557e+01
2.546869e+00,4.390021e+01,4.390139e+01,4.390139e+01,4.390137e+01
2.592944e+00,4.312014e+01,4.312130e+01,4.312129e+01,4.312127e+01
2.639852e+00,4.235393e+01,4.235506e+01,4.235506e+01,4.235504e+01
2.687608e+00,4.160133e+01,4.160244e+01,4.160244e+01,4.160242e+01
2.736229e+00,4.086211e+01,4.086320e+01,4.086320e+01,4.086317e+01
2.785729e+00,4.013602e+01,4.013709e+01,4.013709e+01,4.013706e+01
2.836124e+00,3.942284e+01,3.942388e+01,3.942388e+01,3.942386e+01
2.887431e+00,3.872232e+01,3.872335e+01,3.872335e+01,3.872332e+01
2.939667e+00,3.803426e+01,3.803526e+01,3.803526e+01,3.803524e+01
2.992847e+00,3.735842e+01,3.735940e+01,3.735940e+01,3.735938e+01
3.046990e+00,3.669459e+01,3.669555e+01,3.669555e+01,3.669553e+01
3.102111e+00,3.604255e+01,3.604350e+01,3.604350e+01,3.604347e+01
3.158231e+00,3.540210e+01,3.540303e+01,3.540303e+01,3.540300e+01
3.215365e+00,3.477303e+01,3.477395e+01,3.477395e+01,3.477392e+01
3.273533e+00,3.415514e+01,3.415604e+01,3.415604e+01,3.415601e+01
3.332753e+00,3.354823e+01,3.354911e+01,3.354911e+01,3.354908e+01
3.393044e+00,3.295210e+01,3.295296e+01,3.295296e+01,3.295293e+01
3.454427e+00,3.236656e+01,3.236741e+01,3.236741e+01,3.236738e+01
3.516919e+00,3.179143e+01,3.179226e+01,3.179226e+01,3.179223e+01
3.580542e+00,3.122652e+01,3.122734e+01,3.122734e+01,3.122730e+01
3.645317e+00,3.067164e+01,3.067245e+01,3.067245e+01,3.067241e+01
3.711263e+00,3.012663e+01,3.012742e+01,3.012742e+01,3.012738e+01
3.778402e+00,2.959130e+01,2.959207e+01,2.959207e+01,2.959204e+01
3.846755e+00,2.906548e+01,2.906624e+01,2.906624e+01,2.906620e+01
3.916345e+00,2.854901e+01,2.854975e+01,2.854975e+01,2.854971e+01
3.987194e+00,2.804171e+01,2.804244e+01,2.804244e+01,2.804240e+01
4.059325e+00,2.754342e+01,2.754414e+01,2.754414e+01,2.754410e+01
4.132761e+00,2.705399e+01,2.705470e+01,2.705470e+01,2.705466e+01
4.207525e+00,2.657326e+01,2.657395e+01,2.657395e+01,2.657391e+01
4.283642e+00,2.610107e+01,2.610175e+01,2.610175e+01,2.610171e+01
4.361135e+00,2.563727e+01,2.563794e+01,2.563794e+01,2.563790e+01
4.440031e+00,2.518171e+01,2.518236e+01,2.518236e+01,2.518232e+01
4.520354e+00,2.473425e+01,2.473489e+01,2.473489e+01,2.473485e+01
4.602130e+00,2.429473e+01,2.429536e+01,2.429536e+01,2.429532e+01
