t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
0.2250,0.7,0.700000,0.610221,0.700000,0.510750,0.510303
0.2260,0.7,0.700000,0.610266,0.700000,0.510800,0.510353
0.2270,0.7,0.700000,0.610310,0.700000,0.510850,0.510403
0.2280,0.7,0.700000,0.610355,0.700000,0.510900,0.510453
0.2290,0.7,0.700000,0.610400,0.700000,0.510950,0.510503
0.2300,0.7,0.700000,0.610445,0.700000,0.511000,0.510553
0.2310,0.7,0.700000,0.610490,0.700000,0.511050,0.510603
0.2320,0.7,0.700000,0.610535,0.700000,0.511100,0.510653
0.2330,0.7,0.700000,0.610579,0.700000,0.511150,0.510703
0.2340,0.7,0.700000,0.610624,0.700000,0.511200,0.510753
0.2350,0.7,0.700000,0.610669,0.700000,0.511250,0.510803
0.2360,0.7,0.700000,0.610713,0.700000,0.511300,0.510853
0.2370,0.7,0.700000,0.610758,0.700000,0.511350,0.510903
0.2380,0.7,0.700000,0.610803,0.700000,0.511400,0.510953
0.2390,0.7,0.700000,0.610847,0.700000,0.511450,0.511003
0.2400,0.7,0.700000,0.610892,0.700000,0.511500,0.511053
0.2410,0.7,0.700000,0.610936,0.700000,0.511550,0.511103
0.2420,0.7,0.700000,0.610981,0.700000,0.511600,0.511153
0.2430,0.7,0.700000,0.611026,0.700000,0.511650,0.511203
0.2440,0.7,0.700000,0.611070,0.700000,0.511700,0.511253
0.2450,0.7,0.700000,0.611115,0.700000,0.511750,0.511303
0.2460,0.7,0.700000,0.611159,0.700000,0.511800,0.511353
0.2470,0.7,0.700000,0.611203,0.700000,0.511850,0.511403
0.2480,0.7,0.700000,0.611248,0.700000,0.511900,0.511453
0.2490,0.7,0.700000,0.611292,0.700000,0.511950,0.511503
0.2500,0.7,0.700000,0.611337,0.700000,0.512000,0.511553
0.2510,0.7,0.700000,0.611381,0.700000,0.512050,0.511603
0.2520,0.7,0.700000,0.611425,0.700000,0.512100,0.511653
0.2530,0.7,0.700000,0.611470,0.700000,0.512150,0.511703
0.2540,0.7,0.700000,0.611514,0.700000,0.512200,0.511753
0.2550,0.7,0.700000,0.611558,0.700000,0.512250,0.511803
0.2560,0.7,0.700000,0.611602,0.700000,0.512300,0.511853
0.2570,0.7,0.700000,0.611647,0.700000,0.512350,0.511903
0.2580,0.7,0.700000,0.611691,0.700000,0.512400,0.511953
0.2590,0.7,0.700000,0.611735,0.700000,0.512450,0.512003
0.2600,0.7,0.700000,0.611779,0.700000,0.512500,0.512053
0.2610,0.7,0.700000,0.611823,0.700000,0.512550,0.512103
0.2620,0.7,0.700000,0.611867,0.700000,0.512600,0.512153
0.2630,0.7,0.700000,0.611911,0.700000,0.512650,0.512203
0.2640,0.7,0.700000,0.611955,0.700000,0.512700,0.512253
0.2650,0.7,0.700000,0.611999,0.700000,0.512750,0.512303
0.2660,0.7,0.700000,0.612044,0.700000,0.512800,0.512353
0.2670,0.7,0.700000,0.612087,0.700000,0.512850,0.512403
0.2680,0.7,0.700000,0.612131,0.700000,0.512900,0.512453
0.2690,0.7,0.700000,0.612175,0.700000,0.512950,0.512503
0.2700,0.7,0.700000,0.612219,0.700000,0.513000,0.512553
0.2710,0.7,0.700000,0.612263,0.700000,0.513050,0.512603
0.2720,0.7,0.700000,0.612307,0.700000,0.513100,0.512653
0.2730,0.7,0.700000,0.612351,0.700000,0.513150,0.512703
0.2740,0.7,0.700000,0.612395,0.700000,0.513200,0.512753
0.2750,0.7,0.700000,0.612439,0.700000,0.513250,0.512803
0.2760,0.7,0.700000,0.612482,0.700000,0.513300,0.512853
0.2770,0.7,0.700000,0.612526,0.700000,0.513350,0.512903
0.2780,0.7,0.700000,0.612570,0.700000,0.513400,0.512953
0.2790,0.7,0.700000,0.612614,0.700000,0.513450,0.513003
0.2800,0.7,0.700000,0.612657,0.700000,0.513500,0.513053
0.2810,0.7,0.700000,0.612701,0.700000,0.513550,0.513103
0.2820,0.7,0.700000,0.612745,0.700000,0.513600,0.513153
0.2830,0.7,0.700000,0.612788,0.700000,0.513650,0.513203
0.2840,0.7,0.700000,0.612832,0.700000,0.513700,0.513253
0.2850,0.7,0.700000,0.612876,0.700000,0.513750,0.513303
0.2860,0.7,0.700000,0.612919,0.700000,0.513800,0.513353
0.2870,0.7,0.700000,0.612963,0.700000,0.513850,0.513403
0.2880,0.7,0.700000,0.613006,0.700000,0.513900,0.513453
0.2890,0.7,0.700000,0.613050,0.700000,0.513950,0.513503
0.2900,0.7,0.700000,0.613093,0.700000,0.514000,0.513553
0.2910,0.7,0.700000,0.613137,0.700000,0.514050,0.513603
0.2920,0.7,0.700000,0.613180,0.700000,0.514100,0.513653
0.2930,0.7,0.700000,0.613224,0.700000,0.514150,0.513703
0.2940,0.7,0.700000,0.613267,0.700000,0.514200,0.513753
0.2950,0.7,0.700000,0.613310,0.700000,0.514250,0.513803
0.2960,0.7,0.700000,0.613354,0.700000,0.514300,0.513853
0.2970,0.7,0.700000,0.613397,0.700000,0.514350,0.513903
0.2980,0.7,0.700000,0.613440,0.700000,0.514400,0.513953
0.2990,0.7,0.700000,0.613484,0.700000,0.514450,0.514003
0.3000,0.7,0.700000,0.613527,0.700000,0.514500,0.514053
0.3010,0.7,0.700000,0.613570,0.700000,0.514550,0.514103
0.3020,0.7,0.700000,0.613613,0.700000,0.514600,0.514153
0.3030,0.7,0.700000,0.613657,0.700000,0.514650,0.514203
0.3040,0.7,0.700000,0.613700,0.700000,0.514700,0.514253
0.3050,0.7,0.700000,0.613743,0.700000,0.514750,0.514303
0.3060,0.7,0.700000,0.613786,0.700000,0.514800,0.514353
0.3070,0.7,0.700000,0.613829,0.700000,0.514850,0.514403
0.3080,0.7,0.700000,0.613872,0.700000,0.514900,0.514453
0.3090,0.7,0.700000,0.613916,0.700000,0.514950,0.514503
0.3100,0.7,0.700000,0.613959,0.700000,0.515000,0.514553
0.3110,0.7,0.700000,0.614002,0.700000,0.515050,0.514603
0.3120,0.7,0.700000,0.614045,0.700000,0.515100,0.514653
0.3130,0.7,0.700000,0.614088,0.700000,0.515150,0.514703
0.3140,0.7,0.700000,0.614131,0.700000,0.515200,0.514753
0.3150,0.7,0.700000,0.614174,0.700000,0.515250,0.514803
0.3160,0.7,0.700000,0.614216,0.700000,0.515300,0.514853
0.3170,0.7,0.700000,0.614259,0.700000,0.515350,0.514903
0.3180,0.7,0.700000,0.614302,0.700000,0.515400,0.514953
0.3190,0.7,0.700000,0.614345,0.700000,0.515450,0.515003
0.3200,0.7,0.700000,0.614388,0.700000,0.515500,0.515053
0.3210,0.7,0.700000,0.614431,0.700000,0.515550,0.515103
0.3220,0.7,0.700000,0.614474,0.700000,0.515600,0.515153
0.3230,0.7,0.700000,0.614516,0.700000,0.515650,0.515203
0.3240,0.7,0.700000,0.614559,0.700000,0.515700,0.515253
0.3250,0.7,0.700000,0.614602,0.700000,0.515750,0.515303
0.3260,0.7,0.700000,0.614645,0.700000,0.515800,0.515353
0.3270,0.7,0.700000,0.614687,0.700000,0.515850,0.515403
0.3280,0.7,0.700000,0.614730,0.700000,0.515900,0.515453
0.3290,0.7,0.700000,0.614773,0.700000,0.515950,0.515503
0.3300,0.7,0.700000,0.614815,0.700000,0.516000,0.515553
0.3310,0.7,0.700000,0.614858,0.700000,0.516050,0.515603
0.3320,0.7,0.700000,0.614900,0.700000,0.516100,0.515653
0.3330,0.7,0.700000,0.614943,0.700000,0.516150,0.515703
0.3340,0.7,0.700000,0.614986,0.700000,0.516200,0.515753
0.3350,0.7,0.700000,0.615028,0.700000,0.516250,0.515803
0.3360,0.7,0.700000,0.615071,0.700000,0.516300,0.515853
0.3370,0.7,0.700000,0.615113,0.700000,0.516350,0.515903
0.3380,0.7,0.700000,0.615155,0.700000,0.516400,0.515953
0.3390,0.7,0.700000,0.615198,0.700000,0.516450,0.516003
0.3400,0.7,0.700000,0.615240,0.700000,0.516500,0.516053
0.3410,0.7,0.700000,0.615283,0.700000,0.516550,0.516103
0.3420,0.7,0.700000,0.615325,0.700000,0.516600,0.516153
0.3430,0.7,0.700000,0.615367,0.700000,0.516650,0.516203
0.3440,0.7,0.700000,0.615410,0.700000,0.516700,0.516253
0.3450,0.7,0.700000,0.615452,0.700000,0.516750,0.516303
0.3460,0.7,0.700000,0.615494,0.700000,0.516800,0.516353
0.3470,0.7,0.700000,0.615537,0.700000,0.516850,0.516403
0.3480,0.7,0.700000,0.615579,0.700000,0.516900,0.516453
0.3490,0.7,0.700000,0.615621,0.700000,0.516950,0.516503
0.3500,0.7,0.700000,0.615663,0.700000,0.517000,0.516553
0.3510,0.7,0.700000,0.615706,0.700000,0.517050,0.516603
0.3520,0.7,0.700000,0.615748,0.700000,0.517100,0.516653
0.3530,0.7,0.700000,0.615790,0.700000,0.517150,0.516703
0.3540,0.7,0.700000,0.615832,0.700000,0.517200,0.516753
0.3550,0.7,0.700000,0.615874,0.700000,0.517250,0.516803
0.3560,0.7,0.700000,0.615916,0.700000,0.517300,0.516853
0.3570,0.7,0.700000,0.615958,0.700000,0.517350,0.516903
0.3580,0.7,0.700000,0.616000,0.700000,0.517400,0.516953
0.3590,0.7,0.700000,0.616042,0.700000,0.517450,0.517003
0.3600,0.7,0.700000,0.616084,0.700000,0.517500,0.517053
0.3610,0.7,0.700000,0.616126,0.700000,0.517550,0.517103
0.3620,0.7,0.700000,0.616168,0.700000,0.517600,0.517153
0.3630,0.7,0.700000,0.616210,0.700000,0.517650,0.517203
0.3640,0.7,0.700000,0.616252,0.700000,0.517700,0.517253
0.3650,0.7,0.700000,0.616294,0.700000,0.517750,0.517303
0.3660,0.7,0.700000,0.616336,0.700000,0.517800,0.517353
0.3670,0.7,0.700000,0.616378,0.700000,0.517850,0.517403
0.3680,0.7,0.700000,0.616419,0.700000,0.517900,0.517453
0.3690,0.7,0.700000,0.616461,0.700000,0.517950,0.517503
0.3700,0.7,0.700000,0.616503,0.700000,0.518000,0.517553
0.3710,0.7,0.700000,0.616545,0.700000,0.518050,0.517603
0.3720,0.7,0.700000,0.616586,0.700000,0.518100,0.517653
0.3730,0.7,0.700000,0.616628,0.700000,0.518150,0.517703
0.3740,0.7,0.700000,0.616670,0.700000,0.518200,0.517753
0.3750,0.7,0.700000,0.616712,0.700000,0.518250,0.517803
0.3760,0.7,0.700000,0.616753,0.700000,0.518300,0.517853
0.3770,0.7,0.700000,0.616795,0.700000,0.518350,0.517903
0.3780,0.7,0.700000,0.616837,0.700000,0.518400,0.517953
0.3790,0.7,0.700000,0.616878,0.700000,0.518450,0.518003
0.3800,0.7,0.700000,0.616920,0.700000,0.518500,0.518053
0.3810,0.7,0.700000,0.616961,0.700000,0.518550,0.518103
0.3820,0.7,0.700000,0.617003,0.700000,0.518600,0.518153
0.3830,0.7,0.700000,0.617044,0.700000,0.518650,0.518203
0.3840,0.7,0.700000,0.617086,0.700000,0.518700,0.518253
0.3850,0.7,0.700000,0.617127,0.700000,0.518750,0.518303
0.3860,0.7,0.700000,0.617169,0.700000,0.518800,0.518353
0.3870,0.7,0.700000,0.617210,0.700000,0.518850,0.518403
0.3880,0.7,0.700000,0.617252,0.700000,0.518900,0.518453
0.3890,0.7,0.700000,0.617293,0.700000,0.518950,0.518503
0.3900,0.7,0.700000,0.617334,0.700000,0.519000,0.518553
0.3910,0.7,0.700000,0.617376,0.700000,0.519050,0.518603
0.3920,0.7,0.700000,0.617417,0.700000,0.519100,0.518653
0.3930,0.7,0.700000,0.617458,0.700000,0.519150,0.518703
0.3940,0.7,0.700000,0.617500,0.700000,0.519200,0.518753
0.3950,0.7,0.700000,0.617541,0.700000,0.519250,0.518803
0.3960,0.7,0.700000,0.617582,0.700000,0.519300,0.518853
0.3970,0.7,0.700000,0.617623,0.700000,0.519350,0.518903
0.3980,0.7,0.700000,0.617664,0.700000,0.519400,0.518953
0.3990,0.7,0.700000,0.617706,0.700000,0.519450,0.519003
0.4000,nan,nan,nan,nan,0.519500,0.519053
0.4010,nan,nan,nan,nan,0.519550,0.519103
0.4020,nan,nan,nan,nan,0.519600,0.519153
0.4030,nan,nan,nan,nan,0.519650,0.519203
0.4040,nan,nan,nan,nan,0.519700,0.519253
